Original Order,'ICD-9-CM CODE','SURGERY FLAG','ICD-9-CM CODE DESCRIPTION',System,Reop/Revision,REVIS,POSTOP,,HCUP SURGERY FLAGS 1=BROAD 2=NARROW
104,'0379','2',OTH SPINAL THECAL SHUNT,CNS,0,,,,
105,'0393','2',INSERT SPINAL STIMULATOR,CNS,0,,,,
106,'0394','2',REMOVE SPINAL STIMULATOR,CNS,0,,,,
107,'0397','2',REVISE SPINE THECA SHUNT,CNS,1,1,,,
108,'0398','2',REMOVE SPINE THECA SHUNT,CNS,0,,,,
109,'0399','2',SPINE CANAL STRUC OP NEC,CNS,0,,,,
110,'0401','2',ACOUSTIC NEUROTOMY,CNS,0,,,,
111,'0402','2',TRIGEMINAL NERV DIVISION,CNS,0,,,,
112,'0403','2',PERIPH NERVE DIV NEC,CNS,0,,,,
113,'0404','2',PERIPH NERVE INCIS NEC,CNS,0,,,,
114,'0405','2',GASSERIAN GANGLIONECTOMY,CNS,0,,,,
115,'0406','2',PERIPH GANGLIONECT NEC,CNS,0,,,,
116,'0407','2',PERIPH NERV EXCISION NEC,CNS,0,,,,
117,'0412','1',OPEN PERIPH NERVE BIOPSY,CNS,0,,,,
118,'0419','1',PERIPH NERVE DX PROC NEC,CNS,0,,,,
119,'043 ','2',PERIPHERAL NERVE SUTURE,CNS,0,,,,
120,'0441','2',DECOMPRESS TRIGEM ROOT,CNS,0,,,,
121,'0442','2',CRAN NERV ROOT DECOM NEC,CNS,0,,,,
122,'0443','2',CARPAL TUNNEL RELEASE,CNS,0,,,,
123,'0444','2',TARSAL TUNNEL RELEASE,CNS,0,,,,
124,'0449','2',PER NERVE ADHESIOLYS NEC,CNS,0,,,,
125,'045 ','2',PERIPHERAL NERVE GRAFT,CNS,0,,,,
126,'046 ','2',PERIPH NERVE TRANSPOSIT,CNS,0,,,,
127,'0471','2',HYPOGLOSSFACIAL ANASTOM,CNS,0,,,,
128,'0472','2',ACCESSORYFACIAL ANASTOM,CNS,0,,,,
129,'0473','2',ACCESSHYPOGLOSS ANASTOM,CNS,0,,,,
130,'0474','2',PERIPH NERV ANASTOM NEC,CNS,0,,,,
131,'0475','2',POSTOP REVIS PER NERV OP,CNS,2,1,1,,
132,'0476','2',LATE REPAIR PER NERV INJ,CNS,0,,,,
133,'0479','2',OTHER NEUROPLASTY,CNS,0,,,,
134,'0491','2',NEURECTASIS,CNS,0,,,,
135,'0492','2',IMPLANT PERIPH STIMULAT,CNS,0,,,,
136,'0493','2',REMOVE PERIPH STIMULATOR,CNS,0,,,,
137,'0499','2',PERIPHERAL NERVE OPS NEC,CNS,0,,,,
138,'050 ','2',SYMPATH NERVE DIVISION,CNS,0,,,,
139,'0511','1',SYMPATHETIC NERVE BIOPSY,CNS,0,,,,
140,'0519','1',SYMPATH NRV DX PROC NEC,CNS,0,,,,
141,'0521','2',SPHENOPALATIN GANGLIONEC,CNS,0,,,,
142,'0522','2',CERVICAL SYMPATHECTOMY,CNS,0,,,,
143,'0523','2',LUMBAR SYMPATHECTOMY,CNS,0,,,,
144,'0524','2',PRESACRAL SYMPATHECTOMY,CNS,0,,,,
145,'0525','2',PERIART SYMPATHECT (Begin 1995),CNS,0,,,,
146,'0529','2',OTHER SYMPATHECTOMY,CNS,0,,,,
147,'0581','2',SYMPATHETIC NERVE REPAIR,CNS,0,,,,
148,'0589','2',SYMPATHETIC NERVE OP NEC,CNS,0,,,,
149,'059 ','2',OTHER NERVOUS SYSTEM OPS,CNS,0,,,,
150,'0601','1',ASPIRATION OF THYROID FIELD,Endocrine,0,,,,
151,'0602','2',REOPEN THYROID FIELD WND,Endocrine,0,,,,
152,'0609','2',INCIS THYROID FIELD NEC,Endocrine,0,,,,
153,'0612','1',OPEN THYROID GLAND BX,Endocrine,0,,,,
154,'0613','1',PARATHYROID BIOPSY,Endocrine,0,,,,
155,'0619','1',THYR/PARATHY DX PROC NEC,Endocrine,0,,,,
156,'062 ','2',UNILAT THYROID LOBECTOMY,Endocrine,0,,,,
157,'0631','2',EXCISION THYROID LESION,Endocrine,0,,,,
158,'0639','2',PART THYROIDECTOMY NEC,Endocrine,0,,,,
159,'064 ','2',COMPLETE THYROIDECTOMY,Endocrine,0,,,,
160,'0650','2',SUBSTERN THYROIDECT NOS,Endocrine,0,,,,
161,'0651','2',PART SUBSTERN THYROIDECT,Endocrine,0,,,,
162,'0652','2',TOT SUBSTERN THYROIDECT,Endocrine,0,,,,
163,'066 ','2',LINGUAL THYROID EXCISION,Endocrine,0,,,,
164,'067 ','2',THYROGLOSS DUCT EXCISION,Endocrine,0,,,,
165,'0681','2',TOTAL PARATHYROIDECTOMY,Endocrine,0,,,,
166,'0689','2',OTHER PARATHYROIDECTOMY,Endocrine,0,,,,
167,'0691','2',THYROID ISTHMUS DIVISION,Endocrine,0,,,,
168,'0692','2',THYROID VESSEL LIGATION,Endocrine,0,,,,
169,'0693','2',THYROID SUTURE,Endocrine,0,,,,
170,'0694','2',THYROID REIMPLANTATION,Endocrine,0,,,,
171,'0695','2',PARATHYROID REIMPLANT,Endocrine,0,,,,
172,'0698','2',OTHER THYROID OPERATIONS,Endocrine,0,,,,
173,'0699','2',OTHER PARATHYROID OPS,Endocrine,0,,,,
174,'0700','2',ADRENAL EXPLORATION NOS,Endocrine,0,,,,
175,'0701','2',UNILAT ADRENAL EXPLORAT,Endocrine,0,,,,
176,'0702','2',BILAT ADRENAL EXPLORAT,Endocrine,0,,,,
177,'0712','1',OPEN ADRENAL GLAND BX,Endocrine,0,,,,
178,'0713','1',TRANSFRONT PITUITARY BX,CNS,0,,,,
179,'0714','1',TRANSPHEN PITUITARY BX,CNS,0,,,,
180,'0715','1',PITUITARY BIOPSY NOS,CNS,0,,,,
181,'0716','1',THYMUS BIOPSY,Endocrine,0,,,,
182,'0717','1',PINEAL BIOPSY,CNS,0,,,,
183,'0719','1',ENDOCRINE DX PROC NEC,Endocrine,0,,,,
184,'0721','2',ADRENAL LESION EXCISION,Endocrine,0,,,,
185,'0722','2',UNILATERAL ADRENALECTOMY,Endocrine,0,,,,
186,'0729','2',PART ADRENALECTOMY NEC,Endocrine,0,,,,
187,'073 ','2',BILATERAL ADRENALECTOMY,Endocrine,0,,,,
188,'0741','2',ADRENAL INCISION,Endocrine,0,,,,
189,'0742','2',ADRENAL NERVE DIVISION,Endocrine,0,,,,
190,'0743','2',ADRENAL VESSEL LIGATION,Endocrine,0,,,,
191,'0744','2',ADRENAL REPAIR,Endocrine,0,,,,
192,'0745','2',ADRENAL REIMPLANTATION,Endocrine,0,,,,
193,'0749','2',ADRENAL OPERATION NEC,Endocrine,0,,,,
194,'0751','2',PINEAL FIELD EXPLORATION,CNS,0,,,,
195,'0752','2',PINEAL GLAND INCISION,CNS,0,,,,
196,'0753','2',PARTIAL PINEALECTOMY,CNS,0,,,,
197,'0754','2',TOTAL PINEALECTOMY,CNS,0,,,,
198,'0759','2',PINEAL OPERATION NEC,CNS,0,,,,
199,'0761','2',EXC PITUIT LESTRANSFRON,CNS,0,,,,
200,'0762','2',EXC PITUIT LESTRANSPHEN,CNS,0,,,,
201,'0763','2',PART EXCIS PITUITARY NOS,CNS,0,,,,
202,'0764','2',TOT EXC PITUITTRANSFRON,CNS,0,,,,
203,'0765','2',TOT EXC PITUITTRANSPHEN,CNS,0,,,,
204,'0768','2',TOTAL EXC PITUITARY NEC,CNS,0,,,,
205,'0769','2',TOTAL EXC PITUITARY NOS,CNS,0,,,,
206,'0771','2',PITUITARY FOSSA EXPLORAT,CNS,0,,,,
207,'0772','2',PITUITARY GLAND INCISION,CNS,0,,,,
208,'0779','2',PITUITARY OPERATION NEC,CNS,0,,,,
209,'0780','2',THYMECTOMY NOS,Endocrine,0,,,,
210,'0781','2',PART EXCISION OF THYMUS,Endocrine,0,,,,
211,'0782','2',TOTAL EXCISION OF THYMUS,Endocrine,0,,,,
212,'0783','2',THORAC PART EXISN THYMUS (Begin 2007),Endocrine,0,,,,
213,'0784','2',THORAC TOTAL EXC THYMUS (Begin 2007),Endocrine,0,,,,
214,'0791','2',THYMUS FIELD EXPLORATION,Endocrine,0,,,,
215,'0792','2',INCISION OF THYMUS,Endocrine,0,,,,
216,'0793','2',REPAIR OF THYMUS,Endocrine,0,,,,
217,'0794','2',THYMUS TRANSPLANTATION,Endocrine,0,,,,
218,'0795','2',THORAC INCISION THYMUS (Begin 2007),Endocrine,0,,,,
219,'0798','2',OTH THORAC OP THYMUS NOS (Begin 2007),Endocrine,0,,,,
220,'0799','2',THYMUS OPERATION NEC,Endocrine,0,,,,
221,'0801','1',INCISION OF LID MARGIN,Ophthalmic,0,,,,
222,'0802','1',BLEPHARORRHAPHY SEVERING,Ophthalmic,0,,,,
223,'0809','1',OTHER EYELID INCISION,Ophthalmic,0,,,,
224,'0811','1',EYELID BIOPSY,Ophthalmic,0,,,,
225,'0820','2',REMOVE EYELID LESION NOS,Ophthalmic,0,,,,
226,'0821','2',CHALAZION EXCISION,Ophthalmic,0,,,,
227,'0822','2',EXCISE MINOR LES LID NEC,Ophthalmic,0,,,,
228,'0823','2',EXC MAJ LES LID PRTTHIC,Ophthalmic,0,,,,
229,'0824','2',EXC MAJ LES LID FULTHIC,Ophthalmic,0,,,,
230,'0825','2',DESTRUCTION LID LESION,Ophthalmic,0,,,,
231,'0831','2',PTOSIS REPFRONT MUS SUT,Ophthalmic,0,,,,
232,'0832','2',PTOSIS REPFRON MUS SLNG,Ophthalmic,0,,,,
233,'0833','2',PTOSIS REPLEVAT MUS ADV,Ophthalmic,0,,,,
234,'0834','2',PTOSIS REPLEVAT MUS NEC,Ophthalmic,0,,,,
235,'0835','2',PTOS REPTARSAL TECHNIQ,Ophthalmic,0,,,,
236,'0836','2',BLEPHAROPTOS REPAIR NEC,Ophthalmic,0,,,,
237,'0837','2',REDUC OVERCORRECT PTOSIS,Ophthalmic,0,,,,
238,'0838','2',CORRECT LID RETRACTION,Ophthalmic,0,,,,
239,'0841','2',THERMOCAUT/ENTROPION REP,Ophthalmic,0,,,,
240,'0842','2',SUTURE ENTROPION REPAIR,Ophthalmic,0,,,,
241,'0843','2',WEDG RESEC ENTROPION REP,Ophthalmic,0,,,,
242,'0844','2',LID RECONS ENTROPION REP,Ophthalmic,0,,,,
243,'0849','2',ENTROPION/ECTROP REP NEC,Ophthalmic,0,,,,
244,'0851','2',CANTHOTOMY,Ophthalmic,0,,,,
245,'0852','2',BLEPHARORRHAPHY,Ophthalmic,0,,,,
246,'0859','2',ADJUST LID POSITION NEC,Ophthalmic,0,,,,
247,'0861','2',LID RECONST W SKIN GRAFT,Ophthalmic,0,,,,
248,'0862','2',LID RECONST W MUC GRAFT,Ophthalmic,0,,,,
249,'0863','2',LID RECONST W HAIR GRAFT,Ophthalmic,0,,,,
250,'0864','2',LID RECONTARSOCONJ FLAP,Ophthalmic,0,,,,
251,'0869','2',LID RECONSTR W GRAFT NEC,Ophthalmic,0,,,,
252,'0870','2',LID RECONSTRUCTION NOS,Ophthalmic,0,,,,
253,'0871','2',LID MARG RECONPART THIC,Ophthalmic,0,,,,
254,'0872','2',LID RECONSPART THIC NEC,Ophthalmic,0,,,,
255,'0873','2',LID MARG RECONS FUL THIC,Ophthalmic,0,,,,
256,'0874','2',LID RECONSTFUL THIC NEC,Ophthalmic,0,,,,
257,'0882','1',LID MARG LAC RXPART TH,Ophthalmic,0,,,,
258,'0883','1',LID LACER RXPRT TH NEC,Ophthalmic,0,,,,
259,'0884','1',LID MARG LAC RXFUL THIC,Ophthalmic,0,,,,
260,'0885','1',LID LAC RXFUL THIC NEC,Ophthalmic,0,,,,
261,'0886','1',LOWER LID RHYTIDECTOMY,Ophthalmic,0,,,,
262,'0887','1',UPPER LID RHYTIDECTOMY,Ophthalmic,0,,,,
263,'0889','1',EYELID REPAIR NEC,Ophthalmic,0,,,,
264,'0891','2',ELECTROSURG LID EPILAT,Ophthalmic,0,,,,
265,'0892','2',CRYOSURG LID EPILATION,Ophthalmic,0,,,,
266,'0893','2',EYELID EPILATION NEC,Ophthalmic,0,,,,
267,'0899','2',EYELID OPERATION NEC,Ophthalmic,0,,,,
268,'090 ','2',LACRIMAL GLAND INCISION,Ophthalmic,0,,,,
269,'0911','1',LACRIMAL GLAND BIOPSY,Ophthalmic,0,,,,
270,'0912','1',LACRIMAL SAC BIOPSY,Ophthalmic,0,,,,
271,'0919','1',LACRIMAL SYS DX PROC NEC,Ophthalmic,0,,,,
272,'0920','2',EXC LACRIMAL GLAND NOS,Ophthalmic,0,,,,
273,'0921','2',EXCIS LES LACRIMAL GLAND,Ophthalmic,0,,,,
274,'0922','2',PART DACRYOADENECT NEC,Ophthalmic,0,,,,
275,'0923','2',TOTAL DACRYOADENECTOMY,Ophthalmic,0,,,,
276,'093 ','2',OTHER LACRIMAL GLAND OPS,Ophthalmic,0,,,,
277,'0941','2',LACRIMAL PUNCTUM PROBE,Ophthalmic,0,,,,
278,'0942','2',LAC CANALICULI PROBE,Ophthalmic,0,,,,
279,'0943','2',NASOLACRIMAL DUCT PROBE,Ophthalmic,0,,,,
280,'0944','2',NASOLAC DUCT INTUBAT,Ophthalmic,0,,,,
281,'0949','2',LAC PASSAGE MANIP NEC,Ophthalmic,0,,,,
282,'0951','2',LAC PUNCTUM INCISION,Ophthalmic,0,,,,
283,'0952','2',LAC CANALICULI INCISION,Ophthalmic,0,,,,
284,'0953','2',LACRIMAL SAC INCISION,Ophthalmic,0,,,,
285,'0959','2',LACRIM PASSAGE INCIS NEC,Ophthalmic,0,,,,
286,'096 ','2',LACRIM SAC/PASSAGE EXCIS,Ophthalmic,0,,,,
287,'0971','2',CORRECT EVERTED PUNCTUM,Ophthalmic,0,,,,
288,'0972','2',PUNCTUM REPAIR NEC,Ophthalmic,0,,,,
289,'0973','2',CANALICULUS REPAIR,Ophthalmic,0,,,,
290,'0981','2',DACRYOCYSTORHINOSTOMY,Ophthalmic,0,,,,
291,'0982','2',CONJUNCTIVOCYSTORHINOST,Ophthalmic,0,,,,
292,'0983','2',CONJUNCTIVORHINOS W TUBE,Ophthalmic,0,,,,
293,'0991','2',LAC PUNCTUM OBLITERATION,Ophthalmic,0,,,,
294,'0999','2',LACRIMAL SYSTEM OP NEC,Ophthalmic,0,,,,
295,'100 ','2',INCISE/REMOV CONJUNCT FB,Ophthalmic,0,,,,
296,'101 ','2',CONJUNCTIVA INCISION NEC,Ophthalmic,0,,,,
297,'1021','1',CONJUNCTIVAL BIOPSY,Ophthalmic,0,,,,
298,'1029','1',CONJUNCTIVA DX PROC NEC,Ophthalmic,0,,,,
299,'1031','2',EXCISE CONJUNCTIV LESION,Ophthalmic,0,,,,
300,'1032','2',DESTRUCT CONJUNC LES NEC,Ophthalmic,0,,,,
301,'1033','2',OTH CONJUNC DESTRUC PROC,Ophthalmic,0,,,,
302,'1041','2',SYMBLEPH REP W FREE GRFT,Ophthalmic,0,,,,
303,'1042','2',GRAFT CONJUNC CULDESAC,Ophthalmic,0,,,,
304,'1043','2',CONJUN CULDESAC RX NEC,Ophthalmic,0,,,,
305,'1044','2',CONJUNC FREE GRAFT NEC,Ophthalmic,0,,,,
306,'1049','2',CONJUNCTIVOPLASTY NEC,Ophthalmic,0,,,,
307,'105 ','2',CONJUNC/LID ADHESIOLYSIS,Ophthalmic,0,,,,
308,'106 ','2',REPAIR CONJUNCT LACERAT,Ophthalmic,0,,,,
309,'1091','2',SUBCONJUNCTIVAL INJECT,Ophthalmic,0,,,,
310,'1099','2',CONJUNCTIVAL OP NEC,Ophthalmic,0,,,,
311,'110 ','2',MAGNET REMOVAL CORNEA FB,Ophthalmic,0,,,,
312,'111 ','2',CORNEAL INCISION,Ophthalmic,0,,,,
313,'1121','1',CORNEAL SCRAPE FOR SMEAR,Ophthalmic,0,,,,
314,'1122','1',CORNEAL BIOPSY,Ophthalmic,0,,,,
315,'1129','1',CORNEAL DX PROC NEC,Ophthalmic,0,,,,
316,'1131','2',PTERYGIUM TRANSPOSITION,Ophthalmic,0,,,,
317,'1132','2',PTERYG EXC W CORNEA GRFT,Ophthalmic,0,,,,
318,'1139','2',PTERYGIUM EXCISION NEC,Ophthalmic,0,,,,
319,'1141','2',MECH REMOV CORNEA EPITH,Ophthalmic,0,,,,
320,'1142','2',THERMOCAUT CORNEA LESION,Ophthalmic,0,,,,
321,'1143','2',CRYOTHERAP CORNEA LESION,Ophthalmic,0,,,,
322,'1149','2',DESTRUCT CORNEA LES NEC,Ophthalmic,0,,,,
323,'1151','2',SUTURE CORNEA LACERATION,Ophthalmic,0,,,,
324,'1152','2',REP CORNEA POSTOP DEHISC,Ophthalmic,1,,1,,
325,'1153','2',RX CORNEA LAC W CONJ FLP,Ophthalmic,0,,,,
326,'1159','2',CORNEAL REPAIR NEC,Ophthalmic,0,,,,
327,'1160','2',CORNEAL TRANSPLANT NOS,Ophthalmic,0,,,,
328,'1161','2',LAM KERATPLAST W AUTGRFT,Ophthalmic,0,,,,
329,'1162','2',LAMELLAR KERATOPLAST NEC,Ophthalmic,0,,,,
330,'1163','2',PERF KERATOPL W AUTOGRFT,Ophthalmic,0,,,,
331,'1164','2',PERFORAT KERATOPLAST NEC,Ophthalmic,0,,,,
332,'1169','2',CORNEAL TRANSPLANT NEC,Ophthalmic,0,,,,
333,'1171','2',KERATOMELEUSIS,Ophthalmic,0,,,,
334,'1172','2',KERATOPHAKIA,Ophthalmic,0,,,,
335,'1173','2',KERATOPROSTHESIS,Ophthalmic,0,,,,
336,'1174','2',THERMOKERATOPLASTY,Ophthalmic,0,,,,
337,'1175','2',RADIAL KERATOTOMY (Begin 1989),Ophthalmic,0,,,,
338,'1176','2',EPIKERATOPHAKIA (Begin 1989),Ophthalmic,0,,,,
339,'1179','2',CORNEA RECONSTRUCT NEC,Ophthalmic,0,,,,
340,'1191','2',CORNEAL TATTOOING,Ophthalmic,0,,,,
341,'1192','2',REMOVE CORNEAL IMPLANT,Ophthalmic,0,,,,
342,'1199','2',CORNEAL OPERATION NEC,Ophthalmic,0,,,,
343,'1200','2',REMOV ANT SEGMNT FB NOS,Ophthalmic,0,,,,
344,'1201','2',MAGNET REMOV ANT SEG FB,Ophthalmic,0,,,,
345,'1202','2',NONMAG REMOV ANT SEG FB,Ophthalmic,0,,,,
346,'1211','2',IRIDOTOMY W TRANSFIXION,Ophthalmic,0,,,,
347,'1212','2',IRIDOTOMY NEC,Ophthalmic,0,,,,
348,'1213','2',PROLAPSED IRIS EXCISION,Ophthalmic,0,,,,
349,'1214','2',IRIDECTOMY NEC,Ophthalmic,0,,,,
350,'1221','1',DX ASPIRATANT CHAMBER,Ophthalmic,0,,,,
351,'1222','1',IRIS BIOPSY,Ophthalmic,0,,,,
352,'1229','1',ANT SEGMENT DX PROC NEC,Ophthalmic,0,,,,
353,'1231','2',GONIOSYNECHIAE LYSIS,Ophthalmic,0,,,,
354,'1232','2',ANT SYNECHIA LYSIS NEC,Ophthalmic,0,,,,
355,'1233','2',POST SYNECHIAE LYSIS,Ophthalmic,0,,,,
356,'1234','2',CORNEOVITREAL ADHESIOLYS,Ophthalmic,0,,,,
357,'1235','2',COREOPLASTY,Ophthalmic,0,,,,
358,'1239','2',IRIDOPLASTY NEC,Ophthalmic,0,,,,
359,'1240','2',REMOV ANT SEGMNT LES NOS,Ophthalmic,0,,,,
360,'1241','2',NONEXC DESTRUC IRIS LES,Ophthalmic,0,,,,
361,'1242','2',EXCISION OF IRIS LESION,Ophthalmic,0,,,,
